Region_1,2010,171958,161.34,87.72,33.85,63874.01,18.92,49.69,12.07,34.55,5.53,2.8,62147.42
Region_1,2011,171958,147.18,85.11,35.72,55994.44,10.93,52.69,20.31,32.39,15.63,9.79,46293.99
Region_1,2012,171958,98.68,87.09,48.32,58019.97,10.27,82.24,16.84,46.82,12.19,9.54,69430.18
Region_1,2013,171958,139.82,90.65,43.73,46934.59,17.82,61.4,16.11,41.16,6.52,3.46,82875.3
Region_1,2014,171958,170.03,74.11,29.56,77066.35,24.55,53.17,25.96,40.05,13.26,4.61,69931.08
Region_1,2015,171958,112.54,87.3,40.86,64281.37,15.52,67.85,22.19,41.96,10.77,4.37,41568.69
Region_1,2016,171958,12.68,88.18,30.93,71607.02,22.12,135.51,61.66,86.02,16.14,9.41,75575.39
Region_1,2017,171958,80.46,91.06,52.33,63651.91,15.49,101.89,46.33,73,15,6.49,56804.88
Region_1,2018,171958,58.65,84.25,30.34,48068.77,27.92,109.31,26.43,74.48,22.73,5.8,69429.29
Region_1,2019,171958,48.58,85.68,46.08,67791.4,27.61,102.12,34.41,57.75,18.72,6.99,50694.36
Region_1,2020,171958,177.82,81.13,36.4,54251.91,28.14,36.76,11.24,21.74,4.89,4.18,75338.31
Region_2,2010,710890,89.31,83.02,37.11,53504.61,28.86,94.5,29.21,74.8,27.64,4.59,66315.34
Region_2,2011,710890,57.84,75.41,39.73,51393.62,10.74,99.49,28.21,76.85,14.72,6.88,65187.53
Region_2,2012,710890,37.53,86.7,39.93,49682.21,23.44,119.79,37.17,82.62,27.16,8.09,46634.63
Region_2,2013,710890,111.8,80.05,34.34,41631.01,21.82,80.33,21.52,55.71,10.83,7.42,31161.15
Region_2,2014,710890,141.28,88.1,38.39,45500.84,16.82,70.48,19.55,49.19,18.57,2.91,94728.55
Region_2,2015,710890,115.49,76.96,41.85,43724.11,27.94,75.95,23.15,54.51,21.22,9.2,74317.1
Region_2,2016,710890,178.55,88.09,52.17,43365.6,13.23,34.48,7.95,24.11,3.48,9.19,72450.03
Region_2,2017,710890,40.55,94.33,44.74,66078.45,14.49,107.93,45.76,75,29.13,7.7,46607.44
Region_2,2018,710890,134.95,80.66,41.46,54708.63,15.3,66.19,30.95,45.63,17.14,3.95,98110.74
Region_2,2019,710890,105.5,83.68,67.2,47809.72,24.45,85.06,21.53,66.53,24.73,4.25,31702.12
Region_2,2020,710890,183.82,84.38,47.4,78666.19,29.27,40.48,18.43,24.09,5.42,8.82,50611.42
Region_3,2010,739944,84.99,79.26,53.9,50166.55,15.91,86.46,35.68,57.57,13.77,4.58,89406.89
Region_3,2011,739944,89.76,88.28,25.64,43263.77,10.1,80.05,25.54,41.25,22.2,7.02,43599.18
Region_3,2012,739944,15.25,77.2,60,66881.05,16.56,136,62.3,78.21,14.66,3.24,98728.86
Region_3,2013,739944,67.62,75.04,44.26,73114.76,15.43,110.52,28.55,68.9,26.51,9.72,62008.56
Region_3,2014,739944,36.29,78.46,20.09,69761.71,15.02,116.88,47.52,60.48,33.08,3.47,35661.11
Region_3,2015,739944,94.05,83.4,37.95,47314.64,28.69,91.1,30.13,65.5,9.98,7.11,66168.74
Region_3,2016,739944,117.55,81.6,37.37,43766.28,16.23,67.09,28.78,49.79,11.36,9.84,42273.12
Region_3,2017,739944,98.29,82.9,41.39,77965.83,27.73,94.65,33.16,62.64,22.41,4.09,31071.32
Region_3,2018,739944,127.01,86.72,49.26,72037.97,23.54,76.7,34.22,52.75,20.26,6.59,38995.02
Region_3,2019,739944,133.78,81.66,31.32,48583.56,17.55,65.34,25.92,40.23,15.44,2.31,73277.77
Region_3,2020,739944,74.72,84.86,22.84,67715.61,16.97,95.54,46.84,63.48,17.65,9.49,32743.04
Region_4,2010,741095,163.3,84.9,41.17,54880.72,25.53,60.05,19.74,43.55,15.07,4.73,95153.01
Region_4,2011,741095,29.59,85.06,49.31,73058.3,16.4,109.9,51.83,57.96,18.01,9.16,57244.12
Region_4,2012,741095,190.51,85.48,45.95,65273.49,18.97,42.55,18.11,31.38,10.97,4.35,53006.52
Region_4,2013,741095,27.33,81.5,39.91,61981.16,18.83,114.23,27.75,83.21,25.55,9.1,54564.05
Region_4,2014,741095,29.21,86.22,34.93,42910.52,26.44,111.22,55.17,68.1,19.37,7.65,35694.41
Region_4,2015,741095,164.43,81.68,53.6,43340.03,25.54,61.41,14.33,39.78,6.28,6.47,59695.54
Region_4,2016,741095,99.05,86.61,31.73,69841.8,21.67,80.21,36.94,45.48,23.47,9.7,56240.94
Region_4,2017,741095,12.31,85.35,49.84,79718.59,11.48,128.7,50.04,91.21,24.57,6.43,97851.18
Region_4,2018,741095,129.24,89.36,41.83,41817.86,15.62,67.69,26.13,39.48,9.32,9.6,92318.46
Region_4,2019,741095,98.1,90.16,21.9,43109.39,29.49,84.62,24.78,62.97,20.05,9.89,78871.32
Region_4,2020,741095,40.9,78.4,58.31,77309.14,27.32,113.56,50.33,90.42,14.77,2.36,31845.69
